file,filter,quality_flag,mean,median,std,min_value,max_value,saturation_fraction,bad_pixel_fraction
qatar1b-102.fit,R,ok,86.45082551593751,79.36177188614427,183.93681972836245,-906.6261641675236,24454.073430168104,0.0,0.0007837567336846133
qatar1b-103.fit,R,ok,85.84662003328482,78.78918197054222,185.78866763963717,-863.6754571614235,23860.91650983404,0.0,0.0007984751699979394
qatar1b-104.fit,R,ok,86.05743094537111,79.06267051066001,180.86548747503764,-887.6479447927352,25337.06202363415,0.0,0.0007708781019104531
qatar1b-105.fit,R,ok,86.95298904684267,79.92876441933844,176.32226970276372,-927.6020908449213,20968.486528050467,0.0,0.0006384121750905183
qatar1b-106.fit,R,ok,87.04869195401432,80.08998507823667,179.45279288393314,-889.6456520953445,23477.68055949917,0.0,0.0006972859203438227
qatar1b-107.fit,R,ok,86.73495300991445,79.74086748223507,180.13146124136335,-861.6777498588142,24180.147085075056,0.0,0.0006752082658738335
qatar1b-108.fit,R,ok,86.97496431978465,79.94990905244171,184.3996731159156,-3334.4870678412412,25655.77981333018,0.0,0.0007377616202054694
qatar1b-109.fit,R,ok,87.46607466314752,80.59354305848422,169.13498140230945,-880.6559692336026,19370.59220744314,0.0,0.0006200141296988608
qatar1b-110.fit,R,ok,87.6176961587865,80.58158439114769,180.0613093851672,-883.6525301875166,21840.991594562332,0.0,0.0006310529569338554
qatar1b-111.fit,R,ok,87.69588283519485,80.55583433659666,197.35815743349764,-875.6617009770794,29063.341634477758,0.0,0.0006733684613346678
qatar1b-112.fit,R,ok,87.8786736467146,80.95758206808505,162.6179846615752,-872.6651400231655,18281.989900942375,0.0,0.0006402519796296841
qatar1b-113.fit,R,ok,87.5940644170097,80.38313801165188,198.16585754524317,-905.6273105162189,27763.11423298733,0.0,0.0005942568661505402
qatar1b-114.fit,R,ok,86.9602227716696,79.7562405802527,199.71854844360007,-877.6594082796887,29396.786503182284,0.0,0.0006862470931088281
qatar1b-115.fit,R,ok,87.01807385918165,80.08756119566085,175.2433249190604,-877.6594082796887,22706.414542652667,0.0,0.0007579994701362927
qatar1b-116.fit,R,ok,87.19671591555831,80.200062599125,184.82557596212268,-4213.724938706175,26978.34581070917,0.0,0.000710164552117983
qatar1b-117.fit,R,ok,87.76134346530702,80.72222970915612,185.44760069897833,-4270.870387553725,25511.700279682613,0.0,0.0006328927614730211
qatar1b-118.fit,R,ok,88.03457065695487,80.97296213951586,186.5722811760794,-877.6594082796887,24583.590804251147,0.0,0.0005776986252980483
qatar1b-119.fit,R,ok,88.25891501033541,81.2688792362512,187.91607121977742,-845.6960914379398,24057.662101506652,0.0,0.0006439315887080156
qatar1b-120.fit,R,ok,88.24825594113511,81.21913193144374,196.14344719560705,-1109.5345102645072,28081.403751510785,0.0,0.0006439315887080156
qatar1b-121.fit,R,ok,88.27067198124224,81.14022191380715,202.58192967962225,-1166.8933217806043,29604.36714333996,0.0,0.0006788878749521651
qatar1b-122.fit,R,ok,88.80309313418998,81.82927267764899,193.1852854807387,-1119.3930559938362,25274.997204100957,0.0,0.0006733684613346678
qatar1b-123.fit,R,ok,88.25295171931238,81.11637496252271,203.6868068970877,-1175.8556360799946,28678.25013510631,0.0,0.0007267227929704748
qatar1b-124.fit,R,ok,87.84887184876331,80.85795650414276,190.6070433771897,-1063.826707337617,24081.534399055465,0.0,0.0007083247475788172
qatar1b-125.fit,R,ok,88.62710663198517,81.63873624195509,185.70559521788394,-1022.6000615604221,22727.36390193616,0.0,0.0006457713932471814
qatar1b-126.fit,R,ok,89.16852510664494,82.141839816404,195.66803202280377,-1161.5159332009703,28332.33188021983,0.0,0.0006310529569338554
qatar1b-127.fit,R,ok,89.0655093547936,82.01353276652226,198.1995642174793,-937.4580757162153,28083.401622150253,0.0,0.0006825674840304966
